frame,person,index,bbox.x1,bbox.y1,bbox.x2,bbox.y2,bbox.c,nose.x,nose.y,nose.c,left_eye.x,left_eye.y,left_eye.c,right_eye.x,right_eye.y,right_eye.c,left_ear.x,left_ear.y,left_ear.c,right_ear.x,right_ear.y,right_ear.c,left_shoulder.x,left_shoulder.y,left_shoulder.c,right_shoulder.x,right_shoulder.y,right_shoulder.c,left_elbow.x,left_elbow.y,left_elbow.c,right_elbow.x,right_elbow.y,right_elbow.c,left_wrist.x,left_wrist.y,left_wrist.c,right_wrist.x,right_wrist.y,right_wrist.c,left_hip.x,left_hip.y,left_hip.c,right_hip.x,right_hip.y,right_hip.c,left_knee.x,left_knee.y,left_knee.c,right_knee.x,right_knee.y,right_knee.c,left_ankle.x,left_ankle.y,left_ankle.c,right_ankle.x,right_ankle.y,right_ankle.c
0,child,0,373.0,64.0,640.0,480.0,0.8144956231117249,414.9922180175781,320.26275634765625,0.9242249131202698,437.10906982421875,274.980712890625,0.9750037789344788,0.0,0.0,0.2575158476829529,550.44580078125,250.0758056640625,0.9349660277366638,0.0,0.0,0.001968160504475236,0.0,0.0,0.3253757357597351,0.0,0.0,0.3358725607395172,0.0,0.0,0.01285498309880495,0.0,0.0,0.05256373807787895,0.0,0.0,0.11237164586782455,0.0,0.0,0.20690149068832397,0.0,0.0,0.0010258206166327,0.0,0.0,0.002340607810765505,0.0,0.0,0.0022592495661228895,0.0,0.0,0.006120550446212292,0.0,0.0,0.0026138368993997574,0.0,0.0,0.0065078879706561565
0,adult,1,0.0,315.0,460.0,480.0,0.5228347182273865,348.46539306640625,456.6280212402344,0.5944862961769104,0.0,0.0,0.48546701669692993,348.6666259765625,435.53961181640625,0.5969204902648926,0.0,0.0,0.09565217047929764,0.0,0.0,0.1443295180797577,0.0,0.0,0.07132495939731598,0.0,0.0,0.2795003354549408,0.0,0.0,0.02048477530479431,0.0,0.0,0.11013764142990112,0.0,0.0,0.07588909566402435,0.0,0.0,0.15982818603515625,0.0,0.0,0.02454504184424877,0.0,0.0,0.041570428758859634,0.0,0.0,0.038359370082616806,0.0,0.0,0.06636644899845123,0.0,0.0,0.055380679666996,0.0,0.0,0.0733233243227005
1,child,0,384.0,63.0,640.0,480.0,0.8467048406600952,429.1510925292969,315.0619812011719,0.9313698410987854,450.61737060546875,268.7537536621094,0.9763863682746887,0.0,0.0,0.2923646867275238,566.5172119140625,241.14031982421875,0.9319412112236023,0.0,0.0,0.0024564655032008886,0.0,0.0,0.1881682574748993,0.0,0.0,0.3438745141029358,0.0,0.0,0.005242766812443733,0.0,0.0,0.05288261920213699,0.0,0.0,0.04775650054216385,0.0,0.0,0.1612320989370346,0.0,0.0,0.0005031772889196873,0.0,0.0,0.0016814409755170345,0.0,0.0,0.0014890260063111782,0.0,0.0,0.0058731259778141975,0.0,0.0,0.0025029820390045643,0.0,0.0,0.008185199461877346
1,adult,1,0.0,315.0,456.0,480.0,0.5696187019348145,364.9581604003906,480.0,0.6372954845428467,0.0,0.0,0.41077834367752075,363.731689453125,459.9010009765625,0.79258793592453,0.0,0.0,0.04454413056373596,0.0,0.0,0.4227125942707062,0.0,0.0,0.060622408986091614,0.0,0.0,0.2660602331161499,0.0,0.0,0.0212596133351326,0.0,0.0,0.1192040741443634,0.0,0.0,0.0677209421992302,0.0,0.0,0.1618872880935669,0.0,0.0,0.024392832070589066,0.0,0.0,0.04032154008746147,0.0,0.0,0.04319643974304199,0.0,0.0,0.06739231944084167,0.0,0.0,0.07337916642427444,0.0,0.0,0.08552811294794083
2,child,0,394.0,60.0,640.0,480.0,0.7620822191238403,447.8056335449219,312.5178527832031,0.9322091341018677,469.0646667480469,267.0721435546875,0.9833658337593079,0.0,0.0,0.33675068616867065,577.3004150390625,236.0877227783203,0.960728108882904,0.0,0.0,0.006489978637546301,0.0,0.0,0.2098861038684845,0.0,0.0,0.40714168548583984,0.0,0.0,0.0031562948133796453,0.0,0.0,0.0355546809732914,0.0,0.0,0.0219250600785017,0.0,0.0,0.10041960328817368,0.0,0.0,0.0006859337445348501,0.0,0.0,0.0025707909371703863,0.0,0.0,0.0011322415666654706,0.0,0.0,0.004891511052846909,0.0,0.0,0.0015077062416821718,0.0,0.0,0.005159392952919006
2,adult,1,0.0,315.0,454.0,480.0,0.5703818202018738,371.1009826660156,480.0,0.6335809230804443,0.0,0.0,0.3551960289478302,365.77325439453125,461.31304931640625,0.8155419826507568,0.0,0.0,0.02424110844731331,0.0,0.0,0.4492189586162567,0.0,0.0,0.04685954377055168,0.0,0.0,0.2464168220758438,0.0,0.0,0.019860872998833656,0.0,0.0,0.14636008441448212,0.0,0.0,0.06667673587799072,0.0,0.0,0.1979977935552597,0.0,0.0,0.02281140349805355,0.0,0.0,0.04165766015648842,0.0,0.0,0.033096492290496826,0.0,0.0,0.05789470300078392,0.0,0.0,0.05390791967511177,0.0,0.0,0.06711550801992416
3,child,0,0.0,313.0,453.0,480.0,0.6157592535018921,363.3740539550781,463.51519775390625,0.6881168484687805,0.0,0.0,0.46651121973991394,361.47906494140625,442.9083251953125,0.8230463862419128,0.0,0.0,0.060763631016016006,339.12774658203125,419.75189208984375,0.5304415225982666,0.0,0.0,0.12953715026378632,0.0,0.0,0.36479657888412476,0.0,0.0,0.03342307731509209,0.0,0.0,0.12337217479944229,0.0,0.0,0.06911159306764603,0.0,0.0,0.13396911323070526,0.0,0.0,0.03004913590848446,0.0,0.0,0.04097507521510124,0.0,0.0,0.03744516521692276,0.0,0.0,0.05162421613931656,0.0,0.0,0.053206667304039,0.0,0.0,0.05874108895659447
3,adult,1,395.0,57.0,640.0,480.0,0.5194621086120605,451.2061767578125,312.7754211425781,0.950903058052063,467.2044677734375,267.3386535644531,0.9880650639533997,0.0,0.0,0.2355392575263977,572.1578369140625,238.92849731445312,0.967395007610321,0.0,0.0,0.0029771605040878057,0.0,0.0,0.45175808668136597,0.0,0.0,0.28479865193367004,0.0,0.0,0.029976021498441696,0.0,0.0,0.021228153258562088,0.0,0.0,0.1301150768995285,0.0,0.0,0.0983053669333458,0.0,0.0,0.0020262491889297962,0.0,0.0,0.002733859233558178,0.0,0.0,0.0029867382254451513,0.0,0.0,0.003906591329723597,0.0,0.0,0.0029871303122490644,0.0,0.0,0.00413734233006835
4,child,0,146.0,55.0,640.0,480.0,0.5975667834281921,455.92022705078125,313.50506591796875,0.8825817108154297,471.177001953125,269.7332763671875,0.9692373871803284,0.0,0.0,0.11730154603719711,571.9766235351562,248.54931640625,0.9270986318588257,0.0,0.0,0.002453485270962119,0.0,0.0,0.10588366538286209,0.0,0.0,0.27248910069465637,0.0,0.0,0.010938643477857113,0.0,0.0,0.02661653235554695,0.0,0.0,0.0739828571677208,0.0,0.0,0.12355265021324158,0.0,0.0,0.0008323236834257841,0.0,0.0,0.0020443906541913748,0.0,0.0,0.0028312383219599724,0.0,0.0,0.005747090559452772,0.0,0.0,0.005509064998477697,0.0,0.0,0.010319305583834648
4,adult,1,3.0,310.0,455.0,480.0,0.37771522998809814,0.0,0.0,0.40424489974975586,0.0,0.0,0.32840800285339355,0.0,0.0,0.2733418047428131,0.0,0.0,0.12084829807281494,0.0,0.0,0.04784784093499184,0.0,0.0,0.06244383752346039,0.0,0.0,0.25474780797958374,0.0,0.0,0.03258955106139183,0.0,0.0,0.12202506512403488,0.0,0.0,0.12961305677890778,0.0,0.0,0.19635356962680817,0.0,0.0,0.023749230429530144,0.0,0.0,0.0410761721432209,0.0,0.0,0.032828111201524734,0.0,0.0,0.046332113444805145,0.0,0.0,0.03976555913686752,0.0,0.0,0.046281587332487106
